Barrio,cadaveres,labor_preventiva,incendios_estructurales,incendios_residenciales,otros,control_avispas,incendios_forestales,accidentes_transito,corto_circuito,traslado_heridos,conato_incendio,emergencia_no_atendida,rescate_personas,deslizamientos,falsas_alarmas,rescate _animales,escape_gas_natural,incendios_automotor,derrumbre_estructural,incendios_basureros,escape_gas_propano,inundaciones,incendios_industriales,explosion_transformadores,quemas_controladas,incendios_comerciales,otra_explosion,incendios_edificaciones,emergencias_materiales_peligrosos,corte_anillos,escape_gas_sistema_vehicular,explosion_cilindros,rescate_personas_ascensor,rescate_personas_suicidios,traslados_muertos,escape_cloro,busqueda_ahogado,explosion_polvorerias,total_emergencias
166,0,2,0,0,0,11,0,0,0,1,0,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
168,0,4,0,3,0,1,5,1,0,0,1,0,1,0,0,3,2,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
169,0,9,0,1,4,10,31,1,4,0,1,0,2,1,0,5,2,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80
170,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
172,1,109,4,4,57,178,15,9,2,6,17,2,25,1,3,47,36,11,0,7,5,5,0,4,1,4,1,2,1,1,1,0,11,2,0,1,0,0,573
173,0,44,2,8,23,50,0,9,3,2,11,0,21,0,1,13,17,11,0,6,2,2,0,1,0,11,0,2,1,5,0,0,7,0,0,0,0,0,252
174,0,6,0,0,3,7,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
175,0,8,0,0,3,4,2,1,1,0,1,0,1,0,0,5,1,2,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,37
176,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
177,0,7,1,1,0,3,6,1,1,2,2,0,1,0,0,1,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
178,0,23,0,0,9,13,20,1,1,0,2,1,3,0,0,6,1,2,0,11,0,2,0,1,1,3,0,0,1,5,0,0,1,0,0,0,0,0,107
179,1,18,0,0,9,3,1,1,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
180,0,11,0,1,6,14,11,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
181,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
182,0,14,0,2,9,20,9,1,0,2,1,0,2,1,0,10,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
183,0,6,0,2,5,22,11,2,0,1,3,0,2,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64
184,0,9,0,0,4,26,0,1,0,0,1,1,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53
185,0,30,1,7,14,71,0,4,1,0,11,1,11,0,0,25,16,6,1,3,1,1,0,0,0,6,2,2,0,0,0,0,3,0,0,1,0,0,218
186,0,0,0,0,0,4,2,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
187,0,24,1,2,13,32,0,1,3,0,0,1,6,0,0,17,12,5,0,1,1,2,1,1,0,3,1,2,0,5,0,0,1,0,0,0,0,0,135
188,0,3,1,1,4,13,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,34
189,0,17,4,3,7,49,1,1,1,1,4,2,3,0,0,11,6,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,120
190,0,21,1,1,5,28,0,2,2,1,4,0,4,0,0,8,2,6,2,3,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,95
191,0,13,0,1,2,23,1,0,0,0,1,0,5,0,0,8,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,66
192,0,3,0,1,0,2,1,1,1,0,2,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21
193,0,10,0,0,5,42,1,4,1,1,1,1,2,0,0,10,7,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,93
194,0,1,2,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
195,0,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
196,0,2,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
197,0,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
198,0,20,1,0,7,8,19,2,0,1,3,0,4,6,0,3,3,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,84
199,0,5,0,0,0,11,4,0,0,0,0,0,0,2,0,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33
200,0,6,0,1,2,2,1,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
201,1,7,1,2,0,11,4,0,0,0,0,1,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
202,0,8,0,0,1,2,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
203,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
204,1,139,6,13,58,101,5,38,7,14,23,7,38,0,5,64,36,37,12,26,6,0,6,4,1,30,1,3,8,7,3,0,10,1,0,0,0,0,710
205,1,9,2,2,8,11,1,2,0,7,3,1,5,1,1,7,5,2,3,4,1,1,0,1,0,1,0,1,0,7,0,0,2,0,0,0,0,0,89
206,0,25,1,3,15,50,13,0,2,0,2,1,4,0,0,9,4,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138
207,0,2,0,2,4,17,5,0,0,1,1,0,1,0,0,2,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42
208,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
209,0,3,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
210,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
211,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
212,0,5,0,1,3,7,1,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,25
213,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
214,0,3,0,0,0,4,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
215,1,49,0,7,29,56,50,3,1,2,4,0,15,0,0,24,17,7,2,19,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,291
216,3,1,0,1,0,2,16,2,0,1,3,1,12,0,1,2,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,62
217,1,4,1,2,1,17,20,0,0,2,2,0,3,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
218,0,5,0,2,1,3,0,0,0,0,0,0,0,0,1,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
219,0,0,0,1,2,10,19,0,0,0,0,0,1,0,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
220,0,1,0,1,0,4,12,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
221,1,2,0,1,2,3,2,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
222,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
223,5,41,1,7,37,45,104,12,2,7,17,0,21,2,1,7,5,9,2,18,1,2,2,1,1,2,2,0,2,1,0,0,0,1,0,0,0,0,358
224,0,8,0,0,1,8,10,4,0,1,6,5,3,0,3,3,1,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59
231,0,3,0,1,0,7,0,3,0,0,0,0,2,0,0,3,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26
233,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
234,0,1,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11
235,0,1,0,0,0,1,3,2,1,0,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
236,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
237,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
245,0,9,0,1,6,2,12,0,1,0,0,0,1,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
246,0,1,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
247,0,0,0,0,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
248,1,0,0,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12
249,0,2,0,3,5,5,58,3,1,0,3,0,1,1,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,94
250,1,2,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
251,0,2,0,0,0,3,23,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
252,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
253,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
259,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
267,0,6,0,0,0,6,8,1,1,1,0,0,0,0,0,6,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
269,0,0,0,1,0,3,4,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15
270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
277,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
278,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284,0,13,0,2,9,31,8,1,1,0,2,0,1,0,0,10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84
286,0,12,0,1,6,15,7,0,0,0,0,0,1,0,0,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52
287,0,8,0,1,2,5,21,0,0,0,3,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,51
288,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
290,0,4,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
291,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
292,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
293,0,4,0,2,0,0,0,1,1,0,1,0,1,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
295,0,2,0,8,2,1,42,0,1,0,0,0,0,1,1,0,1,3,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,67
296,1,4,0,1,4,1,19,1,0,0,2,0,5,1,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
297,0,7,0,0,3,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
304,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
305,3,6,0,1,2,0,27,2,0,1,0,1,6,2,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58
307,1,13,0,1,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
315,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
322,0,7,0,0,6,11,18,0,0,0,1,0,1,0,0,1,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54
330,2,1,0,1,1,2,0,1,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
347,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
350,0,3,0,0,0,2,5,0,0,0,0,1,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
353,0,4,1,0,0,1,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
354,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
355,0,5,0,0,1,5,5,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
360,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
366,0,1,0,1,1,1,4,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
368,0,8,0,0,0,6,16,2,0,0,0,1,4,0,0,5,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
370,1,9,0,1,2,13,13,0,4,0,0,1,1,1,0,7,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
371,0,2,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
372,1,2,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
374,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
377,0,2,0,1,4,14,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,1,3,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
383,0,1,0,1,3,3,4,1,0,0,0,0,2,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
384,0,6,0,0,1,1,4,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
385,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
389,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
390,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
391,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
401,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
403,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
404,0,4,0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
405,0,3,0,0,4,0,11,0,0,0,0,0,2,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31
406,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
407,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
409,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
410,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
